sample	lane	fq1	fq2
ISC-Pcgf1KO-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/190225_A00302_0054_BHGHHKDMXX/Sample_S21435_LGR5-ISC-PCGF1KO-7d-BioRep1/S21435_LGR5-ISC-PCGF1KO-7d-BioRep1_S107_L002_R1_001.fastq.gz
ISC-Pcgf1KO-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/190225_A00302_0054_BHGHHKDMXX/Sample_S21436_LGR5-ISC-PCGF1KO-7d-BioRep2/S21436_LGR5-ISC-PCGF1KO-7d-BioRep2_S108_L002_R1_001.fastq.gz
ISC-WT-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/pmule/FASTQ/190415_A00302_0067_AH53WTDRXX/Sample_S22124_2_Lgr5_WT_intestine_mice2/S22124_2_Lgr5_WT_intestine_mice2_S29_L001_R1_001.fastq.gz
ISC-WT-rep1	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/pmule/FASTQ/190415_A00302_0067_AH53WTDRXX/Sample_S22124_2_Lgr5_WT_intestine_mice2/S22124_2_Lgr5_WT_intestine_mice2_S29_L002_R1_001.fastq.gz
ISC-WT-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/dmangana/FASTQ/180808_SN880_0622_ACC8P4ACXX/Sample_S19977_ISCLgr5WT_7dTAM_SMART_rep1/S19977_ISCLgr5WT_7dTAM_SMART_rep1_S14_L004_R1_001.fastq.gz
ISC-Pcgf24KO-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/180907_SN880_0624_ACC8NMACXX/Sample_ISC-Lgr5-PCGF24KO-7d-BioRep1_S18091/ISC-Lgr5-PCGF24KO-7d-BioRep1_S18091_S1_L003_R1_001.fastq.gz
ISC-Pcgf24KO-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/180220/Sample_ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092/ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092_CAGAGA_L008_R1_001.fastq.gz
ISC-Pcgf24KO-rep2	lane2	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/180220/Sample_ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092/ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092_CAGAGA_L008_R1_002.fastq.gz
ISC-Pcgf24KO-rep2	lane3	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/180220/Sample_ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092/ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092_CAGAGA_L008_R1_003.fastq.gz
ISC-Pcgf24KO-rep2	lane4	/hpcnfs/techunits/genomics/PublicData/Pasini/spivetti/FASTQ/180220/Sample_ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092/ISC-Lgr5-PCGF24KO-7d-BioRep2_S18092_CAGAGA_L008_R1_004.fastq.gz
